Date,Account,Debit,Credit,Category,Month,Year
2021-01-02,CC - BofA,0.0,127.79,Shopping,1,2021
2021-01-02,CC - AMEX,18.29,0.0,Entertainment,1,2021
2021-01-04,CHK,0.0,450.88,Rent,1,2021
2021-01-04,CHK,0.0,600.0,Taxes,1,2021
2021-01-04,CHK,0.0,19.3,Utility,1,2021
2021-01-04,CC - BofA,65.0,0.0,Food,1,2021
2021-01-04,CC - BofA,46.64,0.0,Gas & Fuel,1,2021
2021-01-04,CC - BofA,156.63,0.0,Gift,1,2021
2021-01-05,CHK,75.0,0.0,Gift,1,2021
2021-01-05,CC - BofA,51.5,0.0,Medical,1,2021
2021-01-05,CC - BofA,16.08,0.0,Hobby,1,2021
2021-01-06,CC - BofA,80.68,0.0,Pet,1,2021
2021-01-07,CC - BofA,10.0,0.0,Self Care,1,2021
2021-01-07,CC - BofA,50.0,0.0,Self Care,1,2021
2021-01-08,CHK,132.68,0.0,Utility,1,2021
2021-01-08,CC - BofA,43.16,0.0,Entertainment,1,2021
2021-01-11,CC - BofA,14.99,0.0,Shopping,1,2021
2021-01-15,CC - BofA,975.0,0.0,Business Services,1,2021
2021-01-18,CC - BofA,20.75,0.0,Food,1,2021
2021-01-18,CC - BofA,205.2,0.0,Self Care,1,2021
2021-01-18,CC - BofA,37.54,0.0,Self Care,1,2021
2021-01-18,CC - BofA,37.96,0.0,Shopping,1,2021
2021-01-18,CC - BofA,110.94,0.0,Food,1,2021
2021-01-19,CHK,0.0,150.0,Gift,1,2021
2021-01-19,CC - BofA,51.5,0.0,Medical,1,2021
2021-01-19,CC - AMEX,12.93,0.0,Entertainment,1,2021
2021-01-22,CHK,91.43,0.0,Utility,1,2021
2021-01-23,CC - AMEX,15.23,0.0,Entertainment,1,2021
2021-01-25,CC - BofA,50.15,0.0,Food,1,2021
2021-01-25,CC - BofA,9.67,0.0,Entertainment,1,2021
2021-01-25,CC - BofA,50.88,0.0,Gas & Fuel,1,2021
2021-01-25,CC - BofA,57.89,0.0,Entertainment,1,2021
2021-01-26,CHK,11.0,0.0,Entertainment,1,2021
2021-01-26,CC - BofA,80.68,0.0,Pet,1,2021
2021-01-27,CC - BofA,39.75,0.0,Shopping,1,2021
2021-01-29,CC - BofA,41.81,0.0,Entertainment,1,2021
2021-01-30,CC - BofA,101.38,0.0,Entertainment,1,2021
2021-01-30,CC - BofA,163.3,0.0,Self Care,1,2021
2021-02-03,CHK,201.08,0.0,Insurance,2,2021
2021-02-04,CC - BofA,51.5,0.0,Medical,2,2021
2021-02-04,CC - BofA,16.08,0.0,Hobby,2,2021
2021-02-04,CC - AMEX,7.3,0.0,Entertainment,2,2021
2021-02-05,CC - BofA,31.11,0.0,Business Services,2,2021
2021-02-05,CC - AMEX,99.0,0.0,Fee,2,2021
2021-02-06,CC - BofA,29.44,0.0,Food,2,2021
2021-02-08,CHK,0.0,450.88,Rent,2,2021
2021-02-08,CHK,0.0,20.8,Utility,2,2021
2021-02-08,CHK,0.0,20.52,Utility,2,2021
2021-02-08,CHK,0.0,18.42,Utility,2,2021
2021-02-08,CHK,0.0,18.22,Utility,2,2021
2021-02-08,CHK,0.0,6.16,Utility,2,2021
2021-02-08,CC - BofA,25.68,0.0,Entertainment,2,2021
2021-02-08,CC - BofA,69.4,0.0,Entertainment,2,2021
2021-02-09,CHK,0.0,63.0,Entertainment,2,2021
2021-02-09,CC - BofA,98.96,0.0,Food,2,2021
2021-02-09,CC - BofA,30.56,0.0,Shopping,2,2021
2021-02-09,CC - AMEX,7.56,0.0,Entertainment,2,2021
2021-02-10,CHK,98.85,0.0,Utility,2,2021
2021-02-10,CC - BofA,111.0,0.0,Medical,2,2021
2021-02-10,CC - BofA,53.03,0.0,Entertainment,2,2021
2021-02-13,CC - BofA,21.45,0.0,Business Services,2,2021
