,Date,Account,Debit,Credit,Type
0,1/2/2021,CC - BofA,,127.79,Shopping
1,1/2/2021,CC - AMEX,18.29,,Entertainment
2,1/4/2021,CHK,,450.88,Rent
3,1/4/2021,CHK,,600.00,Taxes
4,1/4/2021,CHK,,19.30,Utility
5,1/4/2021,CC - BofA,65.00,,Food
6,1/4/2021,CC - BofA,46.64,,Gas & Fuel
7,1/4/2021,CC - BofA,156.63,,Gift
8,1/5/2021,CHK,75.00,,Gift
9,1/5/2021,CC - BofA,51.50,,Medical
10,1/5/2021,CC - BofA,16.08,,Hobby
11,1/6/2021,CC - BofA,80.68,,Pet
12,1/7/2021,CC - BofA,10.00,,Self Care
13,1/7/2021,CC - BofA,50.00,,Self Care
14,1/8/2021,CHK,132.68,,Utility
15,1/8/2021,CC - BofA,43.16,,Entertainment
16,1/11/2021,CC - BofA,14.99,,Shopping
17,1/15/2021,CC - BofA,975.00,,Business Services
18,1/18/2021,CC - BofA,20.75,,Food
19,1/18/2021,CC - BofA,205.20,,Self Care
20,1/18/2021,CC - BofA,37.54,,Self Care
21,1/18/2021,CC - BofA,37.96,,Shopping
22,1/18/2021,CC - BofA,110.94,,Food
23,1/19/2021,CHK,,150.00,Gift
24,1/19/2021,CC - BofA,51.50,,Medical
25,1/19/2021,CC - AMEX,12.93,,Entertainment
26,1/22/2021,CHK,91.43,,Utility
27,1/23/2021,CC - AMEX,15.23,,Entertainment
28,1/25/2021,CC - BofA,50.15,,Food
29,1/25/2021,CC - BofA,9.67,,Entertainment
30,1/25/2021,CC - BofA,50.88,,Gas & Fuel
31,1/25/2021,CC - BofA,57.89,,Entertainment
32,1/26/2021,CHK,11.00,,Entertainment
33,1/26/2021,CC - BofA,80.68,,Pet
34,1/27/2021,CC - BofA,39.75,,Shopping
35,1/29/2021,CC - BofA,41.81,,Entertainment
36,1/30/2021,CC - BofA,101.38,,Entertainment
37,1/30/2021,CC - BofA,163.30,,Self Care
38,2/3/2021,CHK,201.08,,Insurance
39,2/4/2021,CC - BofA,51.50,,Medical
40,2/4/2021,CC - BofA,16.08,,Hobby
41,2/4/2021,CC - AMEX,7.30,,Entertainment
42,2/5/2021,CC - BofA,31.11,,Business Services
43,2/5/2021,CC - AMEX,99.00,,Fee
44,2/6/2021,CC - BofA,29.44,,Food
45,2/8/2021,CHK,,450.88,Rent
46,2/8/2021,CHK,,20.80,Utility
47,2/8/2021,CHK,,20.52,Utility
48,2/8/2021,CHK,,18.42,Utility
49,2/8/2021,CHK,,18.22,Utility
50,2/8/2021,CHK,,6.16,Utility
51,2/8/2021,CC - BofA,25.68,,Entertainment
52,2/8/2021,CC - BofA,69.40,,Entertainment
53,2/9/2021,CHK,,63.00,Entertainment
54,2/9/2021,CC - BofA,98.96,,Food
55,2/9/2021,CC - BofA,30.56,,Shopping
56,2/9/2021,CC - AMEX,7.56,,Entertainment
57,2/10/2021,CHK,98.85,,Utility
58,2/10/2021,CC - BofA,111.00,,Medical
59,2/10/2021,CC - BofA,53.03,,Entertainment
60,2/13/2021,CC - BofA,21.45,,Business Services
61,2/15/2021,CC - BofA,80.09,,Pet
62,2/15/2021,CC - BofA,975.00,,Business Services
63,2/19/2021,CC - BofA,19.24,,Entertainment
64,2/19/2021,CC - BofA,50.00,,Medical
65,2/19/2021,CC - BofA,48.72,,Entertainment
66,2/22/2021,CHK,,25.00,Food
67,2/22/2021,CC - BofA,110.08,,Food
68,2/22/2021,CC - BofA,31.83,,Food
69,2/22/2021,CC - BofA,12.96,,Entertainment
70,2/23/2021,CHK,119.01,,Utility
71,2/24/2021,CC - BofA,21.38,,Shopping
72,2/25/2021,CC - BofA,99.95,,Insurance
73,2/26/2021,CC - BofA,190.65,,Insurance
74,2/26/2021,CC - BofA,10.00,,Insurance
75,2/26/2021,CC - BofA,50.00,,Medical
76,2/28/2021,CC - AMEX,0.50,,Transportation
77,3/1/2021,CHK,1.00,,Miscellaneous
78,3/1/2021,CC - BofA,45.28,,Food
79,3/2/2021,CHK,25.00,,Gift
80,3/2/2021,CC - BofA,,39.75,Shopping
81,3/2/2021,CC - BofA,96.11,,Entertainment
82,3/2/2021,CC - BofA,62.00,,Gas & Fuel
83,3/3/2021,CC - BofA,54.30,,Food
84,3/4/2021,CC - BofA,82.74,,Entertainment
85,3/4/2021,CC - BofA,50.00,,Medical
86,3/5/2021,CC - BofA,102.39,,Travel
87,3/5/2021,CC - BofA,49.21,,Gift
88,3/6/2021,CC - BofA,71.91,,Entertainment
89,3/6/2021,CC - BofA,16.08,,Hobby
90,3/6/2021,CC - BofA,23.54,,Shopping
91,3/8/2021,CC - BofA,5.97,,Entertainment
92,3/8/2021,CC - BofA,14.98,,Gas & Fuel
93,3/8/2021,CC - BofA,16.62,,Entertainment
94,3/8/2021,CC - BofA,46.47,,Entertainment
95,3/8/2021,CC - BofA,9.94,,Transportation
96,3/8/2021,CC - BofA,98.40,,Self Care
97,3/9/2021,CC - BofA,57.34,,Gas & Fuel
98,3/10/2021,CHK,,450.88,Rent
99,3/10/2021,CHK,132.79,,Utility
100,3/12/2021,CC - BofA,52.79,,Medical
101,3/15/2021,CHK,20.00,,Gift
102,3/15/2021,CHK,50.00,,Gift
103,3/15/2021,CHK,,20.00,Utility
104,3/15/2021,CHK,35.52,,Utility
105,3/17/2021,CHK,,1400.00,Taxes
106,3/18/2021,CC - BofA,22.76,,Shopping
107,3/19/2021,CC - BofA,10.00,,Donation
108,3/20/2021,CC - BofA,43.97,,Entertainment
109,3/22/2021,CC - BofA,40.79,,Self Care
110,3/23/2021,CHK,110.67,,Utility
111,3/25/2021,CHK,60.05,,Entertainment
112,3/25/2021,CC - BofA,58.65,,Pet
113,3/25/2021,CC - BofA,10.83,,Entertainment
114,3/26/2021,CC - BofA,13.33,,Entertainment
115,3/27/2021,CC - BofA,164.77,,Insurance
116,3/27/2021,CC - BofA,10.00,,Insurance
117,3/28/2021,CC - AMEX,7.09,,Entertainment
118,3/29/2021,CC - BofA,14.99,,Food
119,3/29/2021,CC - BofA,10.14,,Entertainment
120,3/31/2021,CC - AMEX,10.54,,Entertainment
121,4/1/2021,CC - BofA,26.40,,Entertainment
122,4/1/2021,CC - Kohls,546.96,,Shopping
123,4/1/2021,CC - Kohls,200.00,,Gift
124,4/2/2021,CHK,1051.62,,Rent
125,4/2/2021,CC - BofA,49.95,,Insurance
126,4/2/2021,CC - BofA,67.36,,Food
127,4/2/2021,CC - BofA,74.75,,Food
128,4/3/2021,CC - BofA,26.00,,Entertainment
129,4/3/2021,CC - CareCred,29.00,,Fee
130,4/5/2021,CHK,19.00,,Entertainment
131,4/5/2021,CC - BofA,0.75,,Fee
132,4/5/2021,CC - BofA,25.00,,Miscellaneous
133,4/5/2021,CC - BofA,16.08,,Hobby
134,4/7/2021,CC - CareCred,,680.00,Pet
135,4/8/2021,CHK,132.79,,Utility
136,4/10/2021,CC - BofA,7.41,,Entertainment
137,4/10/2021,CC - BofA,7.91,,Entertainment
138,4/10/2021,CC - AMEX,16.76,,Entertainment
139,4/12/2021,CC - BofA,30.98,,Entertainment
140,4/13/2021,CC - BofA,58.65,,Pet
141,4/15/2021,CC - BofA,7.58,,Self Care
142,4/16/2021,CHK,,521.88,Rent
143,4/16/2021,CC - AMEX,6.97,,Entertainment
144,4/16/2021,CC - AMEX,5.34,,Hobby
145,4/17/2021,CC - BofA,30.53,,Entertainment
146,4/17/2021,CC - BofA,30.46,,Entertainment
147,4/19/2021,CC - BofA,54.68,,Food
148,4/19/2021,CC - BofA,64.69,,Food
149,4/19/2021,CC - BofA,109.12,,Entertainment
150,4/19/2021,CC - BofA,152.40,,Self Care
151,4/20/2021,CC - BofA,51.51,,Gas & Fuel
152,4/21/2021,CHK,,5.00,Miscellaneous
153,4/21/2021,CHK,5.00,,Miscellaneous
154,4/22/2021,CC - BofA,29.33,,Shopping
155,4/26/2021,CC - BofA,15.29,,Shopping
156,4/26/2021,CC - BofA,10.83,,Entertainment
157,4/26/2021,CC - BofA,10.52,,Transportation
158,4/26/2021,CC - BofA,109.35,,Gift
159,4/27/2021,CC - BofA,164.77,,Insurance
160,4/27/2021,CC - BofA,10.00,,Insurance
161,4/28/2021,CC - BofA,18.06,,Shopping
162,4/28/2021,CC - BofA,21.44,,Shopping
163,4/29/2021,CC - BofA,93.55,,Pet
164,4/30/2021,CHK,1081.24,,Rent
165,5/1/2021,CC - BofA,25.72,,Shopping
166,5/3/2021,CHK,,521.88,Rent
167,5/3/2021,CC - BofA,49.95,,Insurance
168,5/3/2021,CC - BofA,10.40,,Food
169,5/3/2021,CC - CareCred,40.00,,Fee
170,5/5/2021,CC - BofA,16.08,,Hobby
171,5/6/2021,CC - CareCred,,69.00,Fee
172,5/6/2021,CC - AMEX,7.70,,Entertainment
173,5/8/2021,CC - BofA,23.11,,Entertainment
174,5/8/2021,CC - BofA,45.00,,Self Care
175,5/10/2021,CHK,31.00,,Gift
176,5/10/2021,CHK,1730.00,,Taxes
177,5/10/2021,CHK,585.00,,Taxes
178,5/10/2021,CHK,132.82,,Utility
179,5/10/2021,CHK,,27.84,Utility
180,5/10/2021,CHK,,21.69,Utility
181,5/10/2021,CHK,,20.65,Utility
182,5/10/2021,CHK,,19.52,Utility
183,5/10/2021,CHK,,18.74,Utility
184,5/10/2021,CHK,,17.76,Utility
185,5/10/2021,CHK,,12.83,Utility
186,5/10/2021,CC - BofA,56.53,,Food
187,5/10/2021,CC - BofA,11.96,,Entertainment
188,5/11/2021,CC - BofA,,15.29,Shopping
189,5/11/2021,CC - BofA,,0.43,Food
190,5/11/2021,CC - BofA,63.02,,Food
191,5/17/2021,CC - BofA,80.09,,Pet
192,5/18/2021,CC - BofA,24.30,,Entertainment
193,5/19/2021,CC - BofA,16.00,,Entertainment
194,5/19/2021,CC - BofA,41.97,,Shopping
195,5/19/2021,CC - BofA,165.20,,Entertainment
196,5/19/2021,CC - BofA,80.36,,Entertainment
197,5/20/2021,CC - BofA,75.60,,Entertainment
198,5/21/2021,CC - BofA,41.77,,Entertainment
199,5/22/2021,CC - BofA,36.29,,Food
200,5/24/2021,CHK,50.00,,Gas & Fuel
201,5/24/2021,CC - BofA,8.54,,Food
202,5/24/2021,CC - BofA,6.00,,Transportation
203,5/24/2021,CC - BofA,60.02,,Shopping
204,5/24/2021,CC - BofA,37.73,,Gas & Fuel
205,5/24/2021,CC - BofA,53.48,,Gas & Fuel
206,5/24/2021,CC - BofA,38.52,,Food
207,5/24/2021,CC - BofA,8.32,,Shopping
208,5/25/2021,CHK,176.96,,Utility
209,5/25/2021,CC - BofA,26.44,,Entertainment
210,5/27/2021,CC - BofA,21.92,,Entertainment
211,5/27/2021,CC - BofA,164.77,,Insurance
212,5/27/2021,CC - BofA,10.00,,Insurance
213,5/28/2021,CC - BofA,10.55,,Entertainment
214,5/29/2021,CC - BofA,,164.77,Insurance
215,5/29/2021,CC - BofA,50.00,,Donation
216,5/29/2021,CC - BofA,19.26,,Food
217,5/29/2021,CC - BofA,33.88,,Food
218,5/29/2021,CC - BofA,,10.00,Insurance
219,5/29/2021,CC - BofA,19.10,,Food
220,5/29/2021,CC - BofA,102.50,,Self Care
221,5/29/2021,CC - BofA,68.03,,Food
222,5/31/2021,CC - BofA,2.98,,Entertainment
223,5/31/2021,CC - BofA,7.80,,Entertainment
224,5/31/2021,CC - BofA,38.68,,Shopping
225,6/1/2021,CHK,,521.88,Rent
226,6/1/2021,CC - BofA,26.73,,Entertainment
227,6/1/2021,CC - BofA,41.00,,Entertainment
228,6/2/2021,CHK,,75.60,Entertainment
229,6/2/2021,CHK,1087.51,,Rent
230,6/2/2021,CC - BofA,49.95,,Insurance
231,6/3/2021,CC - BofA,80.09,,Pet
232,6/4/2021,CHK,20.00,,Gift
233,6/4/2021,CC - BofA,16.08,,Hobby
234,6/7/2021,CHK,,45.00,Entertainment
235,6/7/2021,CC - BofA,15.26,,Entertainment
236,6/7/2021,CC - BofA,16.40,,Entertainment
237,6/8/2021,CC - BofA,,4.16,Shopping
238,6/9/2021,CHK,132.82,,Utility
239,6/9/2021,CC - CareCred,310.00,,Pet
240,6/11/2021,CHK,103.00,,Entertainment
241,6/11/2021,CHK,2.50,,Fee
242,6/11/2021,CC - BofA,32.31,,Pet
243,6/11/2021,CC - BofA,58.17,,Gas & Fuel
244,6/12/2021,CC - BofA,39.67,,Shopping
245,6/14/2021,CC - BofA,180.00,,Medical
246,6/17/2021,CHK,,500.00,Transfer
247,6/19/2021,CC - BofA,10.84,,Entertainment
248,6/19/2021,CC - BofA,70.09,,Food
249,6/21/2021,CHK,,50.00,Entertainment
250,6/21/2021,CHK,,50.00,Entertainment
251,6/21/2021,CC - BofA,58.65,,Pet
252,6/22/2021,CC - BofA,35.26,,Shopping
253,6/22/2021,CC - BofA,50.00,,Medical
254,6/23/2021,CHK,96.95,,Utility
255,6/25/2021,CHK,15.00,,Donation
256,6/28/2021,CC - BofA,32.45,,Entertainment
257,6/28/2021,CC - BofA,2.92,,Transportation
258,6/29/2021,CC - BofA,43.16,,Food
259,7/2/2021,CHK,,521.88,Rent
260,7/2/2021,CHK,1082.83,,Rent
261,7/2/2021,CC - BofA,49.95,,Insurance
262,7/3/2021,CC - BofA,63.28,,Gas & Fuel
263,7/3/2021,CC - AMEX,1.06,,Hobby
264,7/3/2021,CC - AMEX,10.69,,Hobby
265,7/5/2021,CC - BofA,16.08,,Hobby
266,7/5/2021,CC - BofA,24.14,,Food
267,7/5/2021,CC - BofA,98.40,,Self Care
268,7/7/2021,CC - BofA,6.43,,Entertainment
269,7/8/2021,CHK,132.82,,Utility
270,7/9/2021,CC - BofA,58.65,,Pet
271,7/12/2021,CHK,,47.00,Entertainment
272,7/12/2021,CHK,45.00,,Entertainment
273,7/12/2021,CHK,50.00,,Gift
274,7/12/2021,CC - BofA,34.52,,Entertainment
275,7/14/2021,CHK,20.00,,Gift
276,7/19/2021,CC - BofA,19.82,,Travel
277,7/19/2021,CC - BofA,356.30,,Travel
278,7/19/2021,CC - BofA,9.54,,Entertainment
279,7/19/2021,CC - BofA,10.69,,Hobby
280,7/19/2021,CC - BofA,10.69,,Hobby
281,7/19/2021,CC - BofA,5.34,,Hobby
282,7/19/2021,CC - BofA,18.94,,Transportation
283,7/23/2021,CC - BofA,335.30,,Travel
284,7/23/2021,CC - BofA,51.13,,Entertainment
285,7/23/2021,CC - BofA,22.46,,Entertainment
286,7/24/2021,CC - BofA,26.31,,Transportation
287,7/26/2021,CHK,90.00,,Entertainment
288,7/26/2021,CHK,6.00,,Shopping
289,7/26/2021,CC - BofA,39.00,,Gas & Fuel
290,7/26/2021,CC - BofA,71.04,,Food
291,7/27/2021,CHK,104.56,,Utility
292,7/27/2021,CC - BofA,58.65,,Pet
293,7/28/2021,CC - BofA,,34.32,Rewards
294,7/29/2021,CC - BofA,10.69,,Hobby
295,7/30/2021,CHK,,521.88,Rent
