Date,Account,Income,Month,Year
2021-01-15,CHK,470.49,1,2021
2021-01-29,CHK,512.1,1,2021
2021-02-12,CHK,475.27,2,2021
2021-02-26,CHK,512.1,2,2021
2021-03-12,CHK,574.7,3,2021
2021-03-19,CHK,649.9,3,2021
2021-03-26,CHK,649.91,3,2021
2021-03-26,CHK,277.71,3,2021
2021-04-02,CHK,649.9,4,2021
2021-04-09,CHK,649.89,4,2021
2021-04-16,CHK,649.91,4,2021
2021-04-23,CHK,649.9,4,2021
2021-04-30,CHK,649.9,4,2021
2021-05-07,CHK,649.91,5,2021
2021-05-14,CHK,692.59,5,2021
2021-05-21,CHK,688.22,5,2021
2021-05-28,CHK,710.13,5,2021
2021-06-04,CHK,708.39,6,2021
2021-06-11,CHK,657.73,6,2021
2021-06-18,CHK,674.88,6,2021
2021-06-25,CHK,671.25,6,2021
2021-07-02,CHK,683.63,7,2021
2021-07-09,CHK,714.1,7,2021
2021-07-16,CHK,682.57,7,2021
2021-07-23,CHK,740.15,7,2021
2021-07-30,CHK,709.36,7,2021
2021-08-06,CHK,680.45,8,2021
2021-08-13,CHK,745.93,8,2021
2021-08-20,CHK,715.4,8,2021
2021-08-27,CHK,564.6,8,2021
2021-09-03,CHK,723.33,9,2021
2021-09-10,CHK,780.35,9,2021
2021-09-17,CHK,628.97,9,2021
2021-09-24,CHK,891.46,9,2021
2021-10-01,CHK,893.19,10,2021
2021-10-08,CHK,782.84,10,2021
2021-10-15,CHK,804.81,10,2021
2021-10-22,CHK,778.87,10,2021
2021-10-29,CHK,879.21,10,2021
2021-11-05,CHK,803.31,11,2021
2021-11-12,CHK,854.21,11,2021
2021-11-19,CHK,886.82,11,2021
2021-11-26,CHK,2180.25,11,2021
2021-12-03,CHK,850.74,12,2021
2021-12-10,CHK,1022.49,12,2021
2021-12-17,CHK,1053.01,12,2021
2021-12-23,CHK,903.05,12,2021
2021-12-31,CHK,2673.45,12,2021
2022-01-07,CHK,903.14,1,2022
2022-01-14,CHK,85.25,1,2022
2022-01-14,CHK,1731.21,1,2022
2022-01-28,CHK,2095.64,1,2022
2022-02-07,CHK,7000.0,2,2022
2022-02-15,CHK,2031.07,2,2022
2022-02-28,CHK,2014.49,2,2022
2022-03-15,CHK,2014.49,3,2022
2022-03-28,CHK,2044.09,3,2022
2022-04-15,CHK,2081.77,4,2022
2022-04-28,CHK,3068.32,4,2022
2022-05-13,CHK,2076.93,5,2022
2022-05-27,CHK,2873.82,5,2022
2022-06-15,CHK,2076.93,6,2022
2022-06-28,CHK,2134.97,6,2022
2022-07-15,CHK,2076.3,7,2022
2022-07-28,CHK,4472.77,7,2022
2022-08-15,CHK,2076.93,8,2022
2022-08-26,CHK,3163.93,8,2022
2022-09-07,CHK,79.46,9,2022
2022-09-15,CHK,2076.93,9,2022
2022-09-27,CHK,13.37,9,2022
2022-09-28,CHK,2151.81,9,2022
2022-10-14,CHK,2076.93,10,2022
2022-10-28,CHK,2656.15,10,2022
2022-11-01,CHK,111.29,11,2022
2022-11-15,CHK,2076.93,11,2022
2022-11-28,CHK,3152.63,11,2022
2022-12-15,CHK,2144.21,12,2022
2022-12-22,CHK,2345.45,12,2022
