,Date,Account,Debit,Credit,Type
0,1/3/2022,CHK,,130.00,Entertainment
1,1/3/2022,CHK,1500.00,,Savings
2,1/3/2022,CC  BofA,49.95,,Insurance
3,1/3/2022,CC  BofA,83.80,,Self Care
4,1/3/2022,CC  BofA,50.73,,Food
5,1/3/2022,CC  BofA,27.28,,Entertainment
6,1/3/2022,CC  BofA,14.29,,Entertainment
7,1/4/2022,CC  BofA,130.10,,Shopping
8,1/4/2022,CC  BofA,47.75,,Gas & Fuel
9,1/8/2022,CC  BofA,137.20,,Shopping
10,1/8/2022,CC  BofA,,74.00,Shopping
11,1/10/2022,CHK,143.72,,Utility
12,1/10/2022,CC  BofA,3.99,,Technology
13,1/10/2022,CC  BofA,6.39,,Shopping
14,1/10/2022,CC  BofA,8.57,,Shopping
15,1/10/2022,CC  AMEX,5.26,,Transportation
16,1/12/2022,CC  BofA,100.00,,Medical
17,1/13/2022,CC  AMEX,5.26,,Transportation
18,1/14/2022,CHK,,1000.00,Gift
19,1/14/2022,CC  BofA,,3.99,Technology
20,1/15/2022,CC  BofA,29.75,,Pet
21,1/15/2022,CC  BofA,69.18,,Food
22,1/15/2022,CC  BofA,,50.00,Shopping
23,1/17/2022,CC  BofA,32.16,,Food
24,1/17/2022,CC  BofA,20.16,,Gas & Fuel
25,1/17/2022,CC  BofA,2.00,,Transportation
26,1/19/2022,CC  BofA,15.23,,Food
27,1/19/2022,CC  BofA,11.69,,Food
28,1/19/2022,CC  BofA,8.66,,Shopping
29,1/21/2022,CC  BofA,1.08,,Food
30,1/21/2022,CC  BofA,47.32,,Food
31,1/21/2022,CC  BofA,4.33,,Food
32,1/21/2022,CC  BofA,11.74,,Food
33,1/21/2022,CC  BofA,28.00,,Travel
34,1/21/2022,CC  BofA,8.66,,Shopping
35,1/21/2022,CC  BofA,61.84,,Entertainment
36,1/24/2022,CC  BofA,85.66,,Food
37,1/24/2022,CC  BofA,26.82,,Food
38,1/24/2022,CC  BofA,20.65,,Shopping
39,1/26/2022,CC  BofA,125.00,,Medical
40,1/27/2022,CHK,1766.99,,Rent
41,1/31/2022,CC  BofA,16.08,,Hobby
42,1/31/2022,CC  BofA,39.78,,Gas & Fuel
43,1/31/2022,CC  BofA,56.09,,Food
44,1/31/2022,CC  BofA,28.74,,Food
45,1/31/2022,CC  BofA,45.46,,Food
46,2/2/2022,CC  BofA,49.95,,Insurance
47,2/3/2022,CHK,78.00,,Utility
48,2/3/2022,CC  BofA,76.41,,Pet
49,2/5/2022,CC  BofA,234.73,,Insurance
50,2/6/2022,CC  AMEX,99.00,,Fee
51,2/7/2022,CC  BofA,35.12,,Food
52,2/7/2022,CC  BofA,86.10,,Food
53,2/7/2022,CC  BofA,11.00,,Food
54,2/7/2022,CC  BofA,20.00,,Self Care
55,2/7/2022,CC  BofA,138.38,,Shopping
56,2/7/2022,CC  BofA,72.73,,Shopping
57,2/8/2022,CC  AMEX,1.61,,Transportation
58,2/9/2022,CHK,143.61,,Utility
59,2/9/2022,CC  BofA,60.00,,Medical
60,2/10/2022,CC  BofA,55.46,,Food
61,2/11/2022,CC  BofA,49.28,,Food
62,2/12/2022,CC  BofA,33.00,,Food
63,2/12/2022,CC  BofA,108.81,,Food
64,2/14/2022,CHK,50.00,,Entertainment
65,2/14/2022,CC  BofA,10.07,,Food
66,2/14/2022,CC  BofA,102.31,,Shopping
67,2/14/2022,CC  BofA,7.79,,Transportation
68,2/14/2022,CC  BofA,54.26,,Food
69,2/15/2022,CC  BofA,59.49,,Work
70,2/16/2022,CC  BofA,40.26,,Food
71,2/19/2022,CC  BofA,134.00,,Insurance
72,2/19/2022,CC  BofA,31.27,,Food
73,2/19/2022,CC  BofA,71.99,,Food
74,2/21/2022,CC  BofA,257.40,,Clothing
75,2/21/2022,CC  BofA,3.99,,Technology
76,2/21/2022,CC  BofA,16.75,,Food
77,2/21/2022,CC  BofA,74.42,,Shopping
78,2/21/2022,CC  BofA,24.63,,Transportation
79,2/21/2022,CC  BofA,298.00,,Gift
80,2/21/2022,CC  BofA,60.00,,Gift
81,2/21/2022,CC  BofA,8.34,,Food
82,2/22/2022,CHK,25.00,,Self Care
83,2/22/2022,CC  BofA,2.13,,Shopping
84,2/22/2022,CC  BofA,33.65,,Food
85,2/23/2022,CHK,54.54,,Utility
86,2/23/2022,CC  BofA,559.61,,Work
87,2/23/2022,CC  BofA,60.00,,Medical
88,2/23/2022,CC  BofA,14.81,,Food
89,2/24/2022,CHK,1757.18,,Rent
90,2/24/2022,CC  BofA,83.09,,Pet
91,2/24/2022,CC  BofA,59.76,,Entertainment
92,2/24/2022,CC  BofA,29.88,,Entertainment
93,2/24/2022,CC  BofA,46.32,,Food
94,2/24/2022,CC  BofA,14.75,,Food
95,2/25/2022,CC  BofA,17.90,,Transportation
96,2/26/2022,CC  BofA,11.58,,Food
97,2/26/2022,CC  BofA,10.97,,Food
98,2/28/2022,CC  BofA,34.25,,Shopping
99,2/28/2022,CC  BofA,14.99,,Shopping
100,2/28/2022,CC  BofA,300.26,,Shopping
101,2/28/2022,CC  BofA,26.42,,Shopping
102,3/1/2022,CC  BofA,16.08,,Entertainment
103,3/1/2022,CC  BofA,1454.46,,Auto
104,3/1/2022,CC  BofA,16.08,,Hobby
105,3/1/2022,CC  BofA,63.84,,Food
106,3/1/2022,CC  BofA,18.19,,Transportation
107,3/2/2022,CHK,,25.00,Entertainment
108,3/2/2022,CC  BofA,49.95,,Insurance
109,3/2/2022,CC  BofA,189.60,,Self Care
110,3/3/2022,CC  BofA,60.00,,Medical
111,3/3/2022,CC  BofA,17.96,,Food
112,3/3/2022,CC  BofA,24.71,,Food
113,3/4/2022,CC  BofA,16.06,,Transportation
114,3/5/2022,CC  BofA,30.86,,Personal
115,3/7/2022,CC  BofA,157.86,,Shopping
116,3/7/2022,CC  BofA,,90.52,Rewards
117,3/7/2022,CC  BofA,18.29,,Transportation
118,3/7/2022,CC  BofA,28.52,,Food
119,3/9/2022,CHK,143.61,,Utility
120,3/9/2022,CC  BofA,9.98,,Transportation
121,3/10/2022,CC  BofA,66.24,,Food
122,3/14/2022,CC  BofA,42.89,,Shopping
123,3/14/2022,CC  BofA,50.40,,Shopping
124,3/14/2022,CC  BofA,4.42,,Entertainment
125,3/14/2022,CC  BofA,13.60,,Shopping
126,3/14/2022,CC  BofA,48.12,,Food
127,3/15/2022,CHK,,50.00,Business Services
128,3/15/2022,CC  BofA,13.59,,Food
129,3/16/2022,CC  BofA,115.95,,Shopping
130,3/16/2022,CC  BofA,3.00,,Transportation
131,3/16/2022,CC  BofA,13.18,,Transportation
132,3/17/2022,CC  BofA,19.78,,Transportation
133,3/18/2022,CHK,,40.00,Entertainment
134,3/18/2022,CHK,42.87,,Utility
135,3/18/2022,CC  BofA,70.00,,Medical
136,3/18/2022,CC  BofA,60.00,,Medical
137,3/19/2022,CC  BofA,13.77,,Food
138,3/21/2022,CC  BofA,175.00,,Gym
139,3/21/2022,CC  BofA,128.89,,Pet
140,3/21/2022,CC  BofA,27.86,,Gym
141,3/21/2022,CC  BofA,51.80,,Food
142,3/21/2022,CC  BofA,9.67,,Shopping
143,3/21/2022,CC  BofA,61.90,,Fee
144,3/21/2022,CC  BofA,19.36,,Food
145,3/21/2022,CC  BofA,2.00,,Transportation
146,3/22/2022,CC  BofA,5.22,,Shopping
147,3/22/2022,CC  BofA,20.98,,Shopping
148,3/22/2022,CC  BofA,43.82,,Shopping
149,3/22/2022,CC  BofA,77.33,,Gas & Fuel
150,3/22/2022,CC  BofA,21.95,,Transportation
151,3/23/2022,CHK,,1000.00,Transfer
152,3/23/2022,CC  BofA,30.00,,Gym
153,3/23/2022,CC  BofA,33.84,,Food
154,3/23/2022,CC  BofA,9.96,,Entertainment
155,3/24/2022,CHK,20.00,,Entertainment
156,3/24/2022,CHK,1754.34,,Rent
157,3/24/2022,CC  BofA,35.00,,Shopping
158,3/24/2022,CC  CareCred,630.00,,Self Care
159,3/25/2022,CC  BofA,19.07,,Food
160,3/25/2022,CC  BofA,321.72,,Auto
161,3/25/2022,CC  BofA,35.00,,Medical
162,3/26/2022,CC  BofA,650.26,,Auto
163,3/26/2022,CC  BofA,115.00,,Gym
164,3/26/2022,CC  BofA,29.99,,Personal
165,3/26/2022,CC  BofA,160.45,,Clothing
166,3/26/2022,CC  BofA,318.46,,Pet
167,3/26/2022,CC  BofA,25.11,,Food
168,3/26/2022,CC  BofA,,52.51,Shopping
169,3/28/2022,CC  BofA,60.64,,Food
170,3/28/2022,CC  BofA,60.88,,Food
171,3/28/2022,CC  BofA,30.06,,Food
172,3/28/2022,CC  BofA,10.86,,Food
173,3/28/2022,CC  BofA,56.70,,Food
174,3/29/2022,CC  BofA,16.08,,Entertainment
175,3/30/2022,CHK,,952.00,Taxes
176,3/30/2022,CC  BofA,154.80,,Self Care
177,3/30/2022,CC  BofA,16.69,,Shopping
178,3/31/2022,CC  BofA,16.08,,Hobby
179,4/1/2022,CHK,144.00,,Donation
180,4/1/2022,CHK,,20.00,Entertainment
181,4/1/2022,CHK,15.00,,Entertainment
182,4/1/2022,CC  BofA,35.00,,Medical
183,4/1/2022,CC  BofA,23.07,,Food
184,4/2/2022,CC  BofA,49.95,,Insurance
185,4/2/2022,CC  BofA,10.71,,Shopping
186,4/2/2022,CC  BofA,32.16,,Shopping
187,4/4/2022,CHK,,20.00,Donation
188,4/4/2022,CC  BofA,64.63,,Shopping
189,4/4/2022,CC  BofA,53.30,,Food
190,4/4/2022,CC  BofA,423.48,,Hobby
191,4/4/2022,CC  BofA,242.64,,Hobby
192,4/5/2022,CC  BofA,58.76,,Entertainment
193,4/6/2022,CC  BofA,10.00,,Hobby
194,4/6/2022,CC  BofA,41.15,,Food
195,4/6/2022,CC  BofA,5.57,,Food
196,4/7/2022,CC  BofA,67.48,,Food
197,4/8/2022,CHK,143.61,,Utility
198,4/8/2022,CC  BofA,35.00,,Medical
199,4/9/2022,CC  BofA,28.96,,Food
200,4/9/2022,CC  BofA,13.63,,Food
201,4/11/2022,CC  BofA,10.00,,Gym
202,4/11/2022,CC  BofA,237.54,,Mom
203,4/11/2022,CC  BofA,641.24,,Mom
204,4/11/2022,CC  BofA,71.04,,Food
205,4/11/2022,CC  BofA,55.00,,Mom
206,4/11/2022,CC  BofA,55.00,,Mom
207,4/11/2022,CC  BofA,101.48,,Shopping
208,4/11/2022,CC  BofA,7.74,,Food
209,4/11/2022,CC  BofA,35.99,,Food
210,4/12/2022,CC  BofA,102.84,,Shopping
211,4/12/2022,CC  BofA,51.29,,Pet
212,4/12/2022,CC  BofA,19.30,,Food
213,4/13/2022,CC  BofA,,10.00,Gym
214,4/13/2022,CC  BofA,33.78,,Food
215,4/13/2022,CC  BofA,12.79,,Transportation
216,4/13/2022,CC  BofA,18.34,,Food
217,4/14/2022,CC  BofA,18.06,,Food
218,4/14/2022,CC  BofA,7.78,,Transportation
219,4/14/2022,CC  BofA,35.00,,Medical
220,4/15/2022,CHK,90.00,,Mom
